2025-04-16 01:17:11,463 - __main__ - INFO - Starting summarization pipeline with config: config/config.yaml
2025-04-16 01:17:11,463 - absl - INFO - Using default tokenizer.
2025-04-16 01:17:11,463 - __main__ - INFO - Running in full pipeline mode
2025-04-16 01:17:11,463 - src.pipeline - INFO - Starting pipeline execution
2025-04-16 01:17:11,463 - src.pipeline - INFO - Initializing pipeline components
2025-04-16 01:17:11,463 - src.data_loader - INFO - Loading dataset: samsum
2025-04-16 01:17:24,443 - src.data_loader - INFO - Dataset loaded successfully with 14732 training samples
2025-04-16 01:17:24,443 - src.data_loader - INFO - Initializing tokenizer for model: facebook/bart-large-cnn
2025-04-16 01:17:25,869 - src.model - INFO - Loading model: facebook/bart-large-cnn
2025-04-16 01:17:38,825 - src.model - INFO - Model loaded successfully on device: 0
2025-04-16 01:17:38,825 - src.pipeline - INFO - Running batch inference on 100 samples
2025-04-16 01:17:38,827 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:40,868 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:41,745 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:42,459 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:43,110 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:43,998 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:45,215 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:46,038 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:46,861 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:47,402 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:48,079 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:48,800 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:17:49,330 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
